iter	Logloss
0	0.6670530723
1	0.6435482994
2	0.622915971
3	0.6037439037
4	0.5865418981
5	0.5713040093
6	0.5548649924
7	0.5406250879
8	0.5286099694
9	0.5139171859
10	0.5018942329
11	0.4922164134
12	0.4837430841
13	0.4744565572
14	0.4662491166
15	0.4574918904
16	0.4507941737
17	0.4442993874
18	0.4368316842
19	0.4302003437
20	0.4244667846
21	0.4189028515
22	0.4138406808
23	0.4075549327
24	0.4028657347
25	0.3986486849
26	0.3942511413
27	0.3906544124
28	0.3863779663
29	0.3819340655
30	0.3783300494
31	0.3740459306
32	0.3703346776
33	0.3664890957
34	0.3641909233
35	0.360519621
36	0.3576204525
37	0.355388621
38	0.3528016191
39	0.3499831415
40	0.3467298169
41	0.344284076
42	0.3407028106
43	0.3382431056
44	0.3363273894
45	0.3343649392
46	0.3326660496
47	0.3297454534
48	0.32808627
49	0.3258799229
50	0.3232216822
51	0.3210227156
52	0.319070382
53	0.3175268225
54	0.3154671764
55	0.3138422093
56	0.3120248638
57	0.310586418
58	0.3086117132
59	0.3064472215
60	0.3043581701
61	0.3026836969
62	0.3008764072
63	0.2987393542
64	0.2974529071
65	0.2962163009
66	0.2943588184
67	0.2931026693
68	0.2918439483
69	0.290674198
70	0.2891454872
71	0.2871600503
72	0.2851778282
73	0.2839195604
74	0.2819478611
75	0.2801104087
76	0.2786991877
77	0.277334645
78	0.2763001549
79	0.275084631
80	0.2741192638
81	0.2731340001
82	0.2719564609
83	0.2710724407
84	0.2695194102
85	0.2685769164
86	0.2670195879
87	0.2657679094
88	0.2641874337
89	0.2630927072
90	0.2616388954
91	0.2601436786
92	0.2589233505
93	0.2573520753
94	0.256524188
95	0.255712619
96	0.2546674349
97	0.2535362907
98	0.2520164566
99	0.2506890102
100	0.2495985705
101	0.2484714607
102	0.2469446234
103	0.2456432776
104	0.2444276118
105	0.2433243466
106	0.2417426174
107	0.2404152257
108	0.2393945265
109	0.2385268375
110	0.2376134697
111	0.2368421039
112	0.2357791823
113	0.2343393606
114	0.2336979087
115	0.2328862799
116	0.2321378659
117	0.2313792515
118	0.2307581355
119	0.2300850312
120	0.2293063222
121	0.2280227169
122	0.2270581985
