iter	Passed	Remaining
0	8	8121
1	18	9026
2	26	8746
3	35	8952
4	44	8895
5	51	8547
6	58	8280
7	65	8115
8	72	7960
9	78	7814
10	85	7700
11	92	7616
12	99	7558
13	106	7470
14	112	7390
15	119	7369
16	126	7316
17	134	7336
18	144	7464
19	152	7468
20	164	7672
21	172	7690
22	184	7820
23	193	7853
24	204	7987
25	212	7970
26	224	8080
27	232	8072
28	241	8081
29	251	8136
30	260	8133
31	268	8124
32	278	8164
33	288	8184
34	296	8170
35	305	8176
36	313	8164
37	323	8184
38	331	8162
39	338	8128
40	346	8110
41	354	8083
42	362	8062
43	369	8022
44	377	8004
45	384	7973
46	391	7936
47	399	7916
48	407	7907
49	414	7884
50	422	7858
51	432	7888
52	440	7878
53	450	7895
54	459	7890
55	466	7867
56	474	7845
57	481	7820
58	489	7806
59	496	7776
60	503	7753
61	511	7734
62	517	7700
63	527	7717
64	535	7696
65	542	7677
66	550	7659
67	557	7637
68	564	7617
69	572	7610
70	581	7612
71	589	7599
72	597	7587
73	603	7555
74	611	7540
75	618	7525
76	625	7499
77	632	7471
78	641	7476
79	648	7455
80	655	7435
81	667	7468
82	674	7457
83	681	7427
84	688	7407
85	694	7381
86	701	7358
87	707	7336
88	714	7316
89	721	7293
90	727	7270
91	734	7250
92	741	7233
93	748	7214
94	754	7192
95	761	7166
96	767	7144
97	774	7125
98	781	7110
99	788	7092
100	794	7074
101	803	7073
102	810	7057
103	817	7039
104	823	7020
105	830	7004
106	837	6987
107	844	6971
108	850	6950
109	856	6933
110	863	6914
111	869	6893
112	875	6875
113	882	6858
114	888	6840
115	896	6828
116	902	6813
117	910	6802
118	917	6790
119	924	6781
120	931	6766
121	939	6759
122	946	6746
123	953	6734
124	959	6716
125	965	6697
126	972	6685
127	979	6670
128	985	6656
129	992	6642
130	998	6623
131	1005	6608
132	1011	6592
133	1017	6577
134	1024	6562
135	1030	6547
136	1037	6535
137	1043	6521
138	1050	6506
139	1056	6491
140	1063	6477
141	1069	6462
142	1076	6450
143	1083	6440
144	1089	6424
145	1095	6410
146	1102	6394
147	1108	6381
148	1114	6367
149	1121	6353
150	1127	6339
151	1134	6326
152	1140	6314
153	1146	6299
154	1153	6288
155	1159	6275
156	1166	6262
157	1172	6250
158	1179	6237
159	1186	6228
160	1193	6217
161	1200	6207
162	1207	6198
163	1213	6187
164	1220	6175
165	1226	6161
166	1232	6149
167	1239	6138
168	1245	6126
169	1252	6116
170	1259	6104
171	1265	6092
172	1272	6081
173	1278	6070
174	1285	6059
175	1291	6048
176	1298	6035
177	1304	6022
178	1310	6010
179	1317	6002
180	1324	5991
181	1330	5982
182	1337	5970
183	1343	5959
184	1350	5947
185	1356	5936
186	1363	5929
187	1370	5920
188	1377	5910
189	1384	5902
190	1390	5890
191	1397	5881
192	1403	5870
193	1410	5858
194	1417	5850
195	1423	5840
196	1430	5831
197	1437	5823
198	1444	5816
199	1453	5813
200	1460	5806
201	1468	5802
202	1476	5796
203	1484	5791
204	1490	5781
205	1497	5772
206	1503	5761
207	1512	5757
208	1518	5748
209	1525	5739
210	1533	5732
211	1539	5724
212	1546	5712
213	1552	5702
214	1558	5692
215	1565	5681
216	1572	5672
217	1578	5663
218	1586	5657
219	1594	5651
220	1601	5645
221	1611	5646
222	1618	5637
223	1624	5627
224	1632	5623
225	1639	5615
226	1645	5605
227	1653	5597
228	1660	5590
229	1668	5586
230	1675	5577
231	1681	5567
232	1688	5557
233	1695	5550
234	1702	5540
235	1708	5530
236	1714	5521
237	1721	5511
238	1727	5501
239	1734	5492
240	1740	5482
241	1747	5472
242	1753	5463
243	1760	5454
244	1767	5445
245	1773	5435
246	1780	5428
247	1786	5418
248	1793	5409
249	1801	5403
250	1809	5399
251	1817	5395
252	1829	5401
253	1839	5401
254	1848	5399
255	1857	5399
256	1866	5396
257	1876	5397
258	1886	5396
259	1895	5396
260	1905	5394
261	1914	5394
262	1927	5402
263	1936	5398
264	1945	5395
265	1951	5385
266	1958	5375
267	1964	5367
268	1971	5357
269	1978	5350
270	1985	5340
271	1991	5331
272	1998	5321
273	2004	5311
274	2010	5301
275	2018	5293
276	2024	5284
277	2031	5275
278	2037	5265
279	2044	5257
280	2051	5248
281	2057	5239
282	2064	5230
283	2071	5222
284	2078	5213
285	2084	5204
286	2093	5200
287	2100	5192
288	2108	5187
289	2115	5180
290	2123	5173
291	2130	5165
292	2138	5159
293	2145	5151
294	2151	5141
295	2158	5132
296	2164	5122
297	2171	5114
298	2178	5107
299	2187	5103
300	2196	5100
301	2203	5092
302	2211	5086
303	2218	5078
304	2225	5070
305	2231	5061
306	2238	5052
307	2245	5046
308	2252	5037
309	2259	5028
310	2265	5019
311	2272	5010
312	2278	5001
313	2284	4992
314	2291	4983
315	2298	4974
316	2304	4966
317	2311	4957
318	2318	4949
319	2325	4941
320	2331	4932
321	2338	4923
322	2344	4914
323	2351	4906
324	2359	4900
325	2365	4891
326	2372	4882
327	2379	4874
328	2386	4866
329	2393	4858
330	2399	4850
331	2406	4841
332	2413	4834
333	2420	4826
334	2429	4821
335	2436	4814
336	2447	4815
337	2454	4807
338	2460	4798
339	2468	4791
340	2475	4783
341	2481	4774
342	2488	4765
343	2494	4757
344	2500	4747
345	2507	4739
346	2513	4730
347	2520	4723
348	2527	4714
349	2533	4705
350	2540	4697
351	2546	4688
352	2553	4680
353	2560	4672
354	2566	4663
355	2573	4655
356	2580	4647
357	2586	4639
358	2593	4630
359	2601	4624
360	2607	4616
361	2614	4607
362	2621	4599
363	2627	4591
364	2633	4582
365	2640	4574
366	2647	4565
367	2654	4558
368	2660	4549
369	2672	4549
370	2678	4540
371	2685	4532
372	2692	4525
373	2699	4517
374	2705	4509
375	2712	4501
376	2719	4493
377	2725	4485
378	2732	4476
379	2739	4469
380	2745	4461
381	2752	4453
382	2759	4445
383	2766	4438
384	2773	4430
385	2779	4421
386	2786	4413
387	2793	4405
388	2799	4396
389	2805	4388
390	2812	4380
391	2818	4372
392	2824	4363
393	2831	4354
394	2838	4346
395	2844	4338
396	2851	4330
397	2857	4322
398	2864	4315
399	2872	4308
400	2879	4301
401	2887	4295
402	2893	4287
403	2900	4278
404	2910	4275
405	2917	4267
406	2923	4259
407	2930	4251
408	2936	4243
409	2943	4235
410	2949	4227
411	2956	4218
412	2962	4211
413	2969	4203
414	2976	4195
415	2982	4187
416	2989	4179
417	2995	4171
418	3002	4163
419	3009	4155
420	3015	4147
421	3022	4139
422	3028	4131
423	3035	4124
424	3042	4115
425	3048	4108
426	3056	4100
427	3063	4093
428	3069	4085
429	3076	4077
430	3082	4069
431	3089	4062
432	3096	4054
433	3102	4046
434	3110	4039
435	3116	4031
436	3123	4023
437	3130	4016
438	3136	4008
439	3144	4001
440	3152	3995
441	3161	3991
442	3170	3986
443	3178	3980
444	3187	3974
445	3194	3967
446	3201	3960
447	3208	3952
448	3215	3945
449	3221	3937
450	3227	3929
451	3234	3921
452	3240	3913
453	3247	3905
454	3253	3897
455	3260	3890
456	3267	3881
457	3273	3874
458	3280	3866
459	3287	3858
460	3293	3850
461	3300	3843
462	3307	3835
463	3314	3828
464	3320	3820
465	3326	3812
466	3333	3804
467	3339	3796
468	3347	3789
469	3353	3781
470	3360	3774
471	3366	3766
472	3373	3758
473	3380	3751
474	3386	3742
475	3392	3734
476	3399	3727
477	3406	3719
478	3413	3712
479	3419	3704
480	3426	3696
481	3433	3689
482	3440	3683
483	3447	3675
484	3454	3668
485	3460	3660
486	3467	3652
487	3473	3644
488	3480	3637
489	3492	3634
490	3498	3626
491	3505	3619
492	3513	3613
493	3520	3605
494	3526	3598
495	3533	3590
496	3539	3582
497	3546	3574
498	3553	3567
499	3560	3560
500	3566	3552
501	3572	3544
502	3580	3537
503	3588	3531
504	3594	3523
505	3600	3515
506	3609	3510
507	3617	3503
508	3624	3496
509	3630	3488
510	3637	3480
511	3644	3473
512	3650	3465
513	3657	3457
514	3664	3450
515	3670	3442
516	3676	3434
517	3682	3427
518	3689	3419
519	3696	3411
520	3703	3404
521	3709	3397
522	3716	3389
523	3723	3382
524	3729	3374
525	3736	3367
526	3743	3359
527	3750	3352
528	3758	3346
529	3764	3338
530	3772	3331
531	3779	3324
532	3786	3317
533	3796	3312
534	3804	3306
535	3812	3300
536	3820	3293
537	3830	3289
538	3838	3282
539	3846	3276
540	3855	3271
541	3864	3265
542	3873	3259
543	3881	3253
544	3890	3248
545	3900	3243
546	3909	3237
547	3917	3231
548	3927	3226
549	3936	3220
550	3944	3214
551	3952	3207
552	3958	3200
553	3965	3192
554	3971	3184
555	3978	3176
556	3985	3169
557	3991	3162
558	3998	3154
559	4005	3147
560	4011	3139
561	4019	3132
562	4025	3124
563	4032	3117
564	4039	3109
565	4045	3102
566	4052	3094
567	4058	3086
568	4065	3079
569	4071	3071
570	4078	3064
